index,Letter Value,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
12121,18,3,7,4,5,3,8,7,7,7,7,7,8,2,9,9,8
2712,19,7,10,9,7,7,6,7,7,7,8,10,8,3,9,6,8
5510,15,9,13,9,7,6,11,6,3,4,12,4,6,5,9,6,9
13269,0,4,7,5,5,5,7,7,7,4,6,6,9,2,8,7,4
7641,0,4,9,6,7,4,8,2,1,2,6,2,8,2,7,3,6
10171,17,3,8,4,6,4,5,11,7,3,8,4,9,2,6,5,11
13907,9,3,11,4,9,3,9,7,2,7,11,3,7,1,6,2,6
5722,24,4,6,6,8,8,9,8,4,2,6,8,9,4,11,7,8
14801,4,7,10,5,5,2,7,8,5,7,10,6,8,1,9,7,8
9922,4,5,12,4,6,3,7,7,4,5,10,6,8,3,9,8,9
3488,7,5,8,8,6,5,7,7,3,6,10,6,8,3,8,3,7
9526,24,9,10,7,14,5,9,11,2,3,7,10,5,4,10,6,9
135,23,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6
10410,3,5,5,6,8,3,5,7,10,10,7,6,6,3,8,4,8
3366,7,6,8,9,6,7,6,9,3,6,10,8,8,3,8,4,6
15145,22,6,10,9,8,14,9,7,5,2,7,6,8,11,11,4,8
11759,12,8,9,11,8,13,8,7,4,4,7,6,7,11,8,6,4
3615,18,4,10,5,8,3,8,7,6,9,4,6,8,0,8,9,8
9594,17,4,8,5,6,3,6,10,9,4,7,4,8,3,8,5,10
5662,2,4,7,5,5,2,5,9,7,8,8,8,14,1,8,4,9
3700,20,9,10,9,8,5,4,7,6,9,9,8,9,6,10,4,2
8728,24,4,7,6,11,9,8,9,3,2,6,8,9,6,13,10,6
9317,2,6,11,4,6,2,6,8,7,6,11,7,7,2,9,5,8
1343,6,5,8,7,7,7,7,8,6,3,7,7,9,7,10,8,8
7968,14,4,7,5,5,3,8,6,7,4,10,5,9,3,8,3,7
10998,19,6,9,7,8,7,6,8,4,9,8,8,8,3,10,8,7
5053,4,4,9,6,7,5,7,7,2,7,11,7,9,3,8,4,8
14597,18,5,11,7,8,9,6,5,3,2,6,5,6,5,8,15,3
2835,25,3,6,6,4,3,7,7,2,10,12,6,8,1,8,6,8
9062,6,4,7,4,5,3,6,6,6,5,10,7,13,2,9,4,10
12125,15,6,10,8,8,5,7,10,5,4,12,5,3,1,10,3,8
14605,25,8,12,8,7,5,8,6,2,9,12,6,9,3,7,7,7
13986,18,7,11,5,6,3,7,3,2,5,7,2,7,3,7,5,9
1695,19,5,7,6,6,6,5,8,4,8,9,7,10,3,7,7,5
2636,16,3,5,4,6,3,8,10,5,2,6,9,12,2,10,6,8
6375,25,9,10,6,14,6,8,4,5,4,12,7,9,3,8,12,7
11,14,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
15666,14,4,8,6,7,5,7,6,5,5,9,5,8,3,6,5,6
12820,7,4,9,4,7,4,7,7,13,1,7,6,8,3,8,0,8
11010,20,7,9,8,7,3,3,10,6,7,13,11,8,3,9,1,7
10595,12,6,6,9,6,9,9,8,5,4,7,6,7,11,9,6,3
15269,2,7,9,8,8,8,5,7,4,5,7,6,11,5,9,8,9
8559,7,5,7,8,5,6,5,9,3,6,10,9,9,3,9,3,6
14898,6,5,4,6,6,3,8,8,8,8,6,7,8,2,7,6,11
13302,23,5,9,6,6,5,7,6,3,5,6,6,9,3,7,10,9
9395,7,4,7,5,5,5,7,7,6,6,7,6,8,6,8,3,8
1617,5,4,9,4,6,2,1,13,5,3,12,10,6,0,8,2,6
7131,20,5,7,7,5,5,8,7,8,5,6,7,9,3,8,4,6
9341,4,4,7,6,6,6,6,8,3,3,8,7,8,5,12,9,9
7194,0,6,10,8,8,8,7,7,8,4,7,6,8,4,8,11,2
516,5,4,9,5,7,3,4,11,3,7,11,10,6,1,10,3,5
12330,6,5,12,4,6,4,7,6,4,2,8,6,8,4,9,9,7
4588,13,5,8,8,6,3,3,9,4,4,11,11,10,5,8,1,7
12055,11,5,10,4,5,2,9,3,4,4,12,4,13,2,6,6,9
12819,17,5,11,7,8,5,8,9,4,6,8,4,9,4,6,6,11
10370,4,7,10,9,8,9,8,7,6,2,7,6,10,5,8,8,10
15507,9,6,10,5,7,3,7,10,2,3,12,5,5,2,8,7,9
14501,15,3,6,4,4,2,7,11,7,3,11,5,3,1,10,4,7
276,17,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11
8337,11,4,9,6,7,3,8,4,1,8,9,2,10,0,6,2,9
5245,22,6,9,6,6,6,3,11,2,3,10,10,8,6,11,2,7
12115,10,5,8,7,6,8,6,9,4,5,6,5,9,8,7,7,10
12628,25,4,10,5,8,3,7,7,4,15,9,6,8,0,8,8,8
1514,25,4,7,6,5,5,8,8,5,3,6,4,6,4,8,8,3
4334,15,7,10,7,5,4,8,9,4,3,12,5,4,4,11,5,6
2105,21,3,8,5,6,1,9,8,4,3,6,14,8,3,9,0,8
2612,4,4,8,5,6,5,7,7,5,8,7,7,9,3,8,6,9
13218,13,6,11,7,9,3,7,7,15,2,4,6,8,6,8,0,8
3210,13,8,11,11,8,5,9,7,3,6,10,3,5,6,8,2,7
6116,20,4,7,6,6,6,7,7,5,3,6,7,8,4,7,2,7
616,24,5,6,5,4,3,5,9,1,7,9,10,6,2,11,3,5
14188,15,5,9,7,7,4,9,8,3,5,12,4,4,2,9,4,8
10618,12,5,10,8,7,7,9,6,2,4,8,5,7,7,6,2,8
8489,16,5,8,6,8,5,8,7,8,6,5,5,8,3,10,5,10
7654,12,7,8,10,7,11,8,8,5,4,7,6,7,11,10,6,3
7136,17,4,8,7,7,8,7,8,3,4,7,4,8,6,8,5,6
11829,3,4,8,5,6,3,9,7,4,7,11,4,5,3,8,3,8
11396,12,5,8,9,6,10,8,6,3,2,8,4,8,14,6,3,7
4398,12,6,10,7,8,7,8,5,11,0,7,9,8,10,5,3,7
11376,22,4,7,6,5,3,6,8,4,1,7,8,8,8,10,0,8
6684,22,10,12,9,6,4,5,9,2,2,7,10,7,9,12,1,6
9443,0,5,11,5,6,4,10,3,4,2,10,5,11,5,3,5,10
1941,22,3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,8
4913,7,5,8,7,6,7,8,7,6,7,7,6,7,3,8,4,7
5811,9,3,9,4,7,4,10,6,2,5,9,4,6,3,7,7,8
3853,21,7,9,7,7,3,3,11,5,5,12,12,7,3,10,1,8
7503,9,5,9,6,7,3,9,7,2,6,15,4,8,0,7,1,7
8711,3,6,11,6,6,4,5,9,5,7,10,7,6,5,8,6,5
13125,16,5,7,7,10,11,8,6,5,2,6,6,8,11,12,10,15
15373,13,4,8,6,6,6,7,9,3,4,7,6,7,6,8,6,4
7827,16,6,8,8,7,6,7,4,4,5,6,4,8,4,5,6,7
9236,0,3,8,5,6,3,6,4,3,0,6,2,7,2,7,2,7
15942,19,6,8,6,6,3,4,12,3,7,12,10,5,1,11,1,5
14952,5,7,10,6,5,4,8,9,3,4,11,6,5,3,9,6,7
6165,9,3,8,5,6,5,9,7,3,3,8,4,6,4,8,6,4
9635,24,4,8,6,6,5,9,5,7,5,6,9,7,3,9,9,4
10162,12,10,14,10,8,5,9,11,6,5,4,6,9,10,11,2,7
7305,9,8,10,5,14,4,7,8,3,4,11,6,5,3,8,8,9
14334,24,8,11,7,6,4,7,8,4,6,10,6,4,4,10,5,5
10570,20,3,7,5,5,3,8,8,5,7,4,8,8,3,9,0,7
8702,5,4,7,5,8,6,6,9,4,4,7,7,6,4,9,9,8
9105,1,4,9,4,4,4,8,7,3,4,9,6,8,5,7,6,8
1798,16,4,7,5,7,4,8,7,7,5,6,4,9,2,8,3,8
2909,13,8,10,7,6,3,7,10,5,5,4,5,10,6,11,3,7
10094,13,10,13,12,7,5,3,11,6,3,14,12,9,6,9,0,8
10261,6,5,9,6,7,4,7,6,7,8,11,6,11,2,11,4,9
10151,19,3,7,4,5,2,5,13,3,6,12,9,4,1,11,2,4
14171,23,8,13,7,7,4,8,8,2,9,9,6,7,4,10,4,8
9692,6,4,9,5,6,7,8,7,5,2,6,6,8,8,8,7,12
885,6,4,10,6,8,7,7,9,6,3,5,5,11,5,7,8,7
15777,13,6,11,7,8,6,7,7,13,1,6,6,8,6,8,0,8
15828,14,6,10,7,8,6,7,8,7,4,10,7,7,5,9,4,9
15067,10,7,11,10,8,8,10,6,1,6,10,3,8,6,8,6,11
10695,17,4,8,6,6,4,10,8,3,7,10,1,7,3,6,4,10
8253,17,4,7,4,5,4,6,10,7,3,7,4,9,2,7,5,11
2123,24,5,9,5,6,3,3,10,2,7,11,11,6,1,11,2,5
5631,19,6,11,8,8,7,7,7,7,7,5,9,10,6,7,9,4
10806,12,5,6,7,4,5,11,6,3,4,9,2,6,7,6,2,8
1723,21,6,11,6,6,3,5,9,4,3,10,8,5,5,12,2,7
6045,8,2,9,5,7,5,10,6,2,4,9,5,5,3,8,5,7
2183,18,6,12,6,6,3,10,4,4,3,12,6,9,3,10,2,8
7661,23,4,7,7,5,3,7,8,1,8,10,8,8,3,8,3,7
14260,18,6,9,7,6,4,8,7,4,8,11,6,8,2,9,5,8
12768,13,6,11,6,8,3,7,7,15,2,4,6,8,6,8,0,8
2830,8,1,8,0,6,1,7,7,5,3,7,6,8,0,8,0,8
12261,16,7,10,9,8,8,8,5,8,4,6,7,8,4,6,7,8
2369,23,3,8,5,6,3,8,7,4,8,6,6,8,3,8,6,8
8709,5,4,8,6,6,3,5,11,5,5,13,8,5,2,9,2,6
10916,20,8,11,9,8,6,4,8,6,8,9,7,9,7,9,6,1
10535,2,6,9,6,7,3,5,8,7,8,13,9,9,2,11,3,6
15073,18,5,9,7,6,3,8,8,4,8,11,6,7,2,8,5,7
3356,8,3,10,4,7,2,7,8,0,8,13,6,7,0,8,1,7
3689,3,3,8,3,6,2,5,7,10,8,7,6,5,3,8,4,8
4909,3,4,9,5,6,8,8,10,5,4,8,6,5,6,10,9,6
10451,8,2,9,2,7,2,8,7,0,9,7,6,7,0,8,3,7
9607,18,4,7,6,5,6,8,6,4,3,8,6,8,4,8,10,10
10846,4,3,10,4,7,5,7,7,6,8,8,8,9,3,8,6,9
540,12,8,9,11,7,8,10,6,2,5,9,4,7,8,7,2,8
8936,16,6,8,6,9,7,8,8,6,2,7,8,11,3,8,6,8
4170,8,2,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8
3377,25,4,8,5,6,5,8,7,3,8,8,6,7,1,8,10,9
5924,9,7,11,5,15,4,8,8,3,3,13,4,5,3,8,7,10
11009,3,4,8,5,6,4,7,7,7,7,7,6,4,3,8,3,7
9078,25,6,7,5,11,4,7,7,5,3,11,7,7,3,9,11,6
6034,1,3,7,5,5,5,8,7,7,6,6,6,6,2,8,6,9
607,22,8,11,8,6,5,9,8,4,5,6,9,6,11,8,3,6
10024,24,4,9,6,6,4,10,10,1,7,3,11,8,1,11,2,9
3979,22,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6
15486,15,4,4,4,6,2,4,12,8,2,10,6,4,1,10,4,8
15695,15,6,7,8,9,10,9,9,3,2,6,8,7,6,10,6,4
10272,1,7,10,5,6,4,6,7,5,5,10,6,8,5,7,8,9
1111,1,4,6,6,4,5,9,8,3,6,7,6,8,6,8,6,9
13098,12,4,6,7,4,5,4,7,3,4,11,10,10,5,7,2,6
12296,16,4,6,6,9,3,8,9,7,6,6,9,9,4,7,6,10
13755,15,3,5,5,7,7,8,10,4,0,8,7,6,7,10,4,7
9564,8,5,13,4,7,2,9,7,5,4,12,3,6,3,8,5,10
4817,25,4,11,4,9,4,6,8,6,10,7,7,9,2,9,8,8
12581,19,5,7,6,5,5,6,7,7,7,7,8,8,3,10,5,9
10932,16,6,9,7,11,9,8,4,8,4,6,5,7,5,8,7,11
2643,16,3,7,4,9,5,8,7,8,3,5,6,9,3,8,6,10
12841,3,5,6,6,6,5,6,6,5,7,7,6,8,4,6,6,5
14300,23,6,10,9,8,5,3,9,2,8,11,12,10,3,9,3,5
11849,21,4,8,4,6,2,3,11,3,3,10,11,7,2,10,1,7
13167,16,4,5,5,7,3,9,8,8,6,5,8,10,3,8,5,9
8909,5,5,11,7,8,6,9,8,1,6,13,5,5,3,8,3,9
12014,4,4,7,6,5,5,8,9,7,3,6,6,11,4,7,7,10
13327,13,6,9,9,7,4,7,8,3,5,10,6,7,6,9,1,7
3936,13,6,9,5,5,2,4,8,4,6,4,4,11,5,9,2,7
7638,17,5,7,7,5,4,9,8,4,6,9,4,7,3,7,5,11
10897,4,4,6,6,4,4,6,8,2,8,11,7,9,2,9,4,8
9048,24,4,10,7,8,4,4,9,1,8,10,12,10,1,11,2,7
5708,8,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8
2542,2,7,11,5,6,2,7,7,7,7,12,6,9,2,9,5,9
14374,5,5,8,7,6,7,7,9,1,4,10,7,6,5,10,3,5
10057,7,6,7,8,5,6,10,6,3,6,10,3,7,4,7,4,9
11955,23,5,11,7,9,6,8,7,3,5,6,7,7,4,10,11,9
15669,11,4,7,5,5,6,7,7,3,5,6,7,11,6,11,6,5
